date,campaign_name,ad_set_name,placement,age,gender,region,impressions,reach,clicks,cost,user_id,conversions,revenue,purchase_roas,cpc,ctr
2024-06-19 14:07:22.323296,Brand Awareness,Set 3,Video Feeds,18-24,Female,New York,3914,2958,69,54.72,UID441,1,92.02,1.68,0.79,0.0176
2024-08-14 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,45-54,Male,Florida,8133,3606,238,123.98,UID458,6,234.87,1.89,0.52,0.0293
2024-09-11 14:07:22.323296,Brand Awareness,Set 1,Stories,35-44,Male,Illinois,3182,3000,97,55.34,UID324,3,296.37,5.36,0.57,0.0305
2024-06-20 14:07:22.323296,Product Launch,Set 1,Video Feeds,55-64,Male,New York,6596,4074,84,130.47,UID331,3,268.62,2.06,1.55,0.0127
2024-08-06 14:07:22.323296,Holiday Sale,Set 1,Marketplace,55-64,Male,Florida,4189,2215,143,110.93,UID178,6,244.37,2.2,0.78,0.0341
2024-09-03 14:07:22.323296,Holiday Sale,Set 2,Video Feeds,45-54,Male,Illinois,6682,3953,220,140.23,UID158,7,553.64,3.95,0.64,0.0329
2024-07-01 14:07:22.323296,Holiday Sale,Set 2,Feed,55-64,Female,New York,4578,2946,103,78.4,UID61,3,193.06,2.46,0.76,0.0225
2024-08-12 14:07:22.323296,Brand Awareness,Set 3,Stories,55-64,Male,Illinois,6488,4920,99,105.0,UID445,4,332.52,3.17,1.06,0.0153
2024-07-23 14:07:22.323296,Brand Awareness,Set 2,Marketplace,18-24,Female,New York,3794,3488,164,285.14,UID118,4,339.82,1.19,1.74,0.0432
2024-08-07 14:07:22.323296,Brand Awareness,Set 2,Feed,55-64,Male,California,5013,3916,205,180.93,UID239,8,572.63,3.16,0.88,0.0409
2024-08-01 14:07:22.323296,Brand Awareness,Set 2,Marketplace,55-64,Male,California,4914,4627,131,176.79,UID434,5,445.32,2.52,1.35,0.0267
2024-07-21 14:07:22.323296,Product Launch,Set 3,Stories,45-54,Female,Florida,6861,5174,187,99.25,UID423,6,501.09,5.05,0.53,0.0273
2024-08-01 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,45-54,Female,New York,6328,3615,288,179.11,UID78,10,813.22,4.54,0.62,0.0455
2024-08-21 14:07:22.323296,Brand Awareness,Set 2,Stories,25-34,Male,California,2023,1810,152,89.88,UID94,4,354.68,3.95,0.59,0.0751
2024-08-31 14:07:22.323296,Product Launch,Set 1,Stories,55-64,Male,Florida,5596,4491,135,197.95,UID5,4,362.94,1.83,1.47,0.0241
2024-08-30 14:07:22.323296,Holiday Sale,Set 3,Video Feeds,55-64,Male,Texas,6622,3602,244,126.67,UID244,9,647.33,5.11,0.52,0.0368
2024-07-11 14:07:22.323296,Holiday Sale,Set 2,Feed,55-64,Female,California,0,0,0,0.0,UID477,0,0.0,0.0,0.0,0.0
2024-09-10 14:07:22.323296,Holiday Sale,Set 1,Marketplace,18-24,Female,California,2238,1115,237,78.03,UID187,4,276.55,3.54,0.33,0.1059
