date,campaign_name,ad_group_name,device_type,geo_targeting,age,gender,impressions,clicks,cost,user_id,conversions,conversion_value,conv_rate,cost_per_conv
2024-09-09 14:07:22.323296,Brand Awareness,Group C,Mobile,New York,55-64,Male,5692,81,445.72,UID7,2,307.82,0.0247,222.86
2024-06-17 14:07:22.323296,Product Launch,Group A,Tablet,Florida,25-34,Female,8858,310,496.62,UID262,6,405.04,0.0194,82.77
2024-07-05 14:07:22.323296,Holiday Sale,Group B,Mobile,New York,55-64,Male,7381,120,269.35,UID494,3,136.83,0.025,89.78
2024-08-17 14:07:22.323296,Brand Awareness,Group C,Tablet,California,55-64,Male,4772,250,681.42,UID62,7,936.04,0.028,97.35
2024-09-12 14:07:22.323296,Holiday Sale,Group B,Desktop,California,45-54,Male,6585,153,231.63,UID303,3,184.74,0.0196,77.21
2024-07-20 14:07:22.323296,Holiday Sale,Group A,Tablet,Illinois,25-34,Female,5989,562,365.31,UID175,10,757.44,0.0178,36.53
2024-09-08 14:07:22.323296,Brand Awareness,Group C,Tablet,Florida,55-64,Female,10369,394,675.52,UID364,11,1477.6,0.0279,61.41
2024-08-15 14:07:22.323296,Holiday Sale,Group B,Mobile,Texas,25-34,Male,9921,423,438.4,UID188,7,542.36,0.0165,62.63
2024-07-26 14:07:22.323296,Holiday Sale,Group B,Mobile,California,35-44,Female,4300,167,134.49,UID302,3,289.23,0.018,44.83
2024-08-29 14:07:22.323296,Brand Awareness,Group B,Mobile,Florida,35-44,Male,10278,361,397.55,UID124,8,821.79,0.0222,49.69
2024-07-26 14:07:22.323296,Holiday Sale,Group A,Mobile,New York,35-44,Male,6285,199,200.3,UID330,3,171.67,0.0151,66.77
2024-08-14 14:07:22.323296,Product Launch,Group C,Mobile,Illinois,55-64,Male,10155,156,137.44,UID437,3,105.86,0.0192,45.81
2024-06-27 14:07:22.323296,Holiday Sale,Group A,Mobile,New York,35-44,Male,10318,341,389.07,UID290,7,530.05,0.0205,55.58
2024-06-25 14:07:22.323296,Product Launch,Group A,Desktop,California,45-54,Male,2308,96,120.21,UID169,2,110.54,0.0208,60.1
2024-08-07 14:07:22.323296,Holiday Sale,Group A,Tablet,California,45-54,Female,5017,45,40.47,UID200,0,0.0,0.0,0.0
2024-06-30 14:07:22.323296,Brand Awareness,Group C,Tablet,New York,55-64,Female,8296,382,515.05,UID308,10,1291.91,0.0262,51.5
2024-06-22 14:07:22.323296,Brand Awareness,Group A,Tablet,California,25-34,Female,4550,270,406.24,UID459,5,498.29,0.0185,81.25
2024-08-12 14:07:22.323296,Holiday Sale,Group A,Desktop,Florida,18-24,Female,10495,616,802.19,UID11,9,622.81,0.0146,89.13
2024-08-10 14:07:22.323296,Brand Awareness,Group A,Tablet,California,25-34,Male,4093,197,409.16,UID364,3,354.94,0.0152,136.39
2024-07-24 14:07:22.323296,Holiday Sale,Group A,Desktop,Illinois,25-34,Male,7213,288,134.22,UID3,4,340.17,0.0139,33.56
2024-08-12 14:07:22.323296,Brand Awareness,Group B,Desktop,Florida,25-34,Female,8570,270,622.51,UID85,5,616.05,0.0185,124.5
2024-06-16 14:07:22.323296,Product Launch,Group A,Desktop,Texas,25-34,Female,7050,188,324.93,UID224,3,298.85,0.016,108.31
2024-08-29 14:07:22.323296,Holiday Sale,Group B,Tablet,California,18-24,Male,6465,180,233.75,UID33,3,109.95,0.0167,77.92
